country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,city_ascii,country,lat,lng
Chile,Nacimiento,42.0,Good,1.0,Good,15.0,Good,4.0,Good,42.0,Good,Nacimiento,Chile,-37.5,-72.6667
United States of America,Nacogdoches,39.0,Good,1.0,Good,20.0,Good,2.0,Good,39.0,Good,Nacogdoches,United States,31.6134,-94.6528
Mexico,Nacozari,65.0,Moderate,1.0,Good,28.0,Good,0.0,Good,65.0,Moderate,,,,
India,Nadapuram,69.0,Moderate,0.0,Good,24.0,Good,0.0,Good,69.0,Moderate,,,,
India,Nadbai,209.0,Very Unhealthy,1.0,Good,44.0,Good,0.0,Good,209.0,Very Unhealthy,Nadbai,India,27.23,77.2
India,Nadiad,156.0,Unhealthy,1.0,Good,37.0,Good,0.0,Good,156.0,Unhealthy,Nadiad,India,22.69,72.86
Morocco,Nador,43.0,Good,1.0,Good,43.0,Good,0.0,Good,36.0,Good,Nador,Morocco,35.1667,-2.9333
India,Naduvattam,78.0,Moderate,2.0,Good,17.0,Good,4.0,Good,78.0,Moderate,Naduvattam,India,11.0583,75.8569
India,Naduvattam,78.0,Moderate,2.0,Good,17.0,Good,4.0,Good,78.0,Moderate,Naduvattam,India,11.4808,76.5437
Ukraine,Nadvirna,51.0,Moderate,1.0,Good,32.0,Good,1.0,Good,51.0,Moderate,Nadvirna,Ukraine,48.6333,24.5833
Russian Federation,Nadvoitsy,28.0,Good,1.0,Good,28.0,Good,0.0,Good,9.0,Good,,,,
Russian Federation,Nadym,56.0,Moderate,1.0,Good,31.0,Good,0.0,Good,56.0,Moderate,Nadym,Russia,65.5333,72.5167
India,Naenwa,176.0,Unhealthy,1.0,Good,43.0,Good,0.0,Good,176.0,Unhealthy,,,,
Denmark,Naestved,36.0,Good,0.0,Good,36.0,Good,0.0,Good,17.0,Good,Naestved,Denmark,55.225,11.7583
Tunisia,Naftah,89.0,Moderate,1.0,Good,43.0,Good,0.0,Good,89.0,Moderate,,,,
Philippines,Naga,72.0,Moderate,1.0,Good,20.0,Good,1.0,Good,72.0,Moderate,Naga,Philippines,7.7978,122.6944
